点云序号,距离雷达的纵向距离/m,距离雷达的横向距离/m,纬度,经度,横向速度,纵向速度,总速度,时间戳,RCS,标定速度与雷达速度差,
1040516,40,-0.1,23.26337242,113.524908,-1.3464,-2.6467,2.969480401,3,1688527141,17.5,0.030519599
1040516,40,-0.1,23.26337232,113.5249078,-1.3465,-2.6523,2.974518035,3,1688527141,17.5,0.025481965
1040516,40,-0.1,23.26337222,113.5249076,-1.3482,-2.6545,2.977249316,3,1688527141,17.5,0.022750684
1040516,40,-0.1,23.26337212,113.5249074,-1.3491,-2.657,2.979885872,3,1688527141,17.5,0.020114128
1040708,40.4,-0.1,23.26337202,113.5249072,-1.3504,-2.6596,2.982792705,3,1688527141,12,0.017207295
1040708,40.4,-0.1,23.26337192,113.5249069,-1.3506,-2.661,2.984131592,3,1688527141,12,0.015868408
1040708,40.4,-0.1,23.26337183,113.5249067,-1.3499,-2.6637,2.986222982,3,1688527141,12,0.013777018
1040708,40.4,-0.1,23.26337173,113.5249065,-1.3518,-2.6651,2.988330847,3,1688527141,12,0.011669153
1040708,40.4,-0.1,23.26337163,113.5249063,-1.3509,-2.6664,2.989083433,3,1688527141,12,0.010916567
1040708,40.4,-0.1,23.26337153,113.5249061,-1.3537,-2.6706,2.994095531,3,1688527141,12,0.005904469
1040708,40.4,-0.1,23.26337143,113.5249059,-1.3542,-2.6725,2.996016337,3,1688527141,12,0.003983663
1040708,40.4,-0.1,23.26337134,113.5249057,-1.3548,-2.675,2.99851764,3,1688527141,12,0.00148236
1040708,40.4,-0.1,23.26337124,113.5249055,-1.3568,-2.6764,3.000670458,3,1688527141,12,-0.000670458
1040708,40.4,-0.1,23.26337114,113.5249053,-1.3581,-2.6787,3.003309724,3,1688527141,12,-0.003309724
1040708,40.4,-0.1,23.26337104,113.5249051,-1.3603,-2.6804,3.005821061,3,1688527141,12,-0.005821061
1040890,40.4,-0.1,23.26337094,113.5249049,-1.3609,-2.6843,3.009570617,3,1688527141,19,-0.009570617
1040890,40.4,-0.1,23.26337085,113.5249046,-1.361,-2.6851,3.010329386,3,1688527141,19,-0.010329386
1040890,40.4,-0.1,23.26337075,113.5249044,-1.3619,-2.6851,3.010736392,3,1688527141,19,-0.010736392
1040890,40.4,-0.1,23.26337065,113.5249042,-1.3622,-2.6883,3.01372622,3,1688527141,19,-0.01372622
1040890,40.4,-0.1,23.26337055,113.524904,-1.3629,-2.688,3.013775109,3,1688527141,19,-0.013775109
1040890,40.4,-0.1,23.26337045,113.5249038,-1.3638,-2.6901,3.016055114,3,1688527141,19,-0.016055114
1040890,40.4,-0.1,23.26337035,113.5249036,-1.3645,-2.6918,3.017887919,3,1688527141,19,-0.017887919
1040890,40.4,-0.1,23.26337026,113.5249034,-1.3644,-2.693,3.018913109,3,1688527141,19,-0.018913109
1040890,40.4,-0.1,23.26337016,113.5249032,-1.3653,-2.6952,3.021282365,3,1688527141,19,-0.021282365
1040890,40.4,-0.1,23.26337006,113.524903,-1.3651,-2.6966,3.022440995,3,1688527141,19,-0.022440995
1040890,40.4,-0.1,23.26336996,113.5249028,-1.3634,-2.6974,3.02238752,3,1688527141,19,-0.02238752
1040890,40.4,-0.1,23.26336986,113.5249025,-1.3644,-2.6985,3.023820367,3,1688527141,19,-0.023820367
1041077,40.6,-0.3,23.26336976,113.5249023,-1.3634,-2.7008,3.025422318,3,1688527141,18,-0.025422318
1041077,40.6,-0.3,23.26336966,113.5249021,-1.3636,-2.7016,3.026226614,3,1688527141,18,-0.026226614
1041077,40.6,-0.3,23.26336957,113.5249019,-1.3642,-2.7025,3.027300429,3,1688527141,18,-0.027300429
1041077,40.6,-0.3,23.26336947,113.5249017,-1.3608,-2.7044,3.027466928,3,1688527141,18,-0.027466928
1041077,40.6,-0.3,23.26336937,113.5249015,-1.3611,-2.7051,3.028227075,3,1688527141,18,-0.028227075
1041077,40.6,-0.3,23.26336927,113.5249013,-1.3599,-2.7045,3.02715184,3,1688527141,18,-0.02715184
1041077,40.6,-0.3,23.26336917,113.5249011,-1.3595,-2.7046,3.027061514,3,1688527141,18,-0.027061514
1041258,40.8,-0.5,23.26336907,113.5249009,-1.3606,-2.7049,3.027823702,3,1688527141,18,-0.027823702
1041258,40.8,-0.5,23.26336898,113.5249006,-1.3594,-2.706,3.028267551,3,1688527141,18,-0.028267551
1041258,40.8,-0.5,23.26336888,113.5249004,-1.3575,-2.7071,3.028398365,3,1688527141,18,-0.028398365
1041258,40.8,-0.5,23.26336878,113.5249002,-1.3579,-2.7054,3.027058237,3,1688527141,18,-0.027058237
1041258,40.8,-0.5,23.26336867,113.5249,-1.359,-2.7069,3.028892307,3,1688527141,18,-0.028892307
1041258,40.8,-0.5,23.26336857,113.5248998,-1.3597,-2.7071,3.029385169,3,1688527141,18,-0.029385169
1041258,40.8,-0.5,23.26336847,113.5248996,-1.3614,-2.7067,3.029791222,3,1688527141,18,-0.029791222
1041258,40.8,-0.5,23.26336837,113.5248994,-1.3627,-2.7061,3.029839682,3,1688527141,18,-0.029839682
1041258,40.8,-0.5,23.26336827,113.5248992,-1.3622,-2.7061,3.029614835,3,1688527141,18,-0.029614835
1041258,40.8,-0.5,23.26336816,113.524899,-1.3641,-2.7054,3.029844546,3,1688527141,18,-0.029844546
1041445,40.8,-0.3,23.26336806,113.5248987,-1.3652,-2.7052,3.030161395,3,1688527141,12.5,-0.030161395
1041445,40.8,-0.3,23.26336796,113.5248985,-1.3681,-2.7033,3.029773671,3,1688527141,12.5,-0.029773671
1041445,40.8,-0.3,23.26336786,113.5248983,-1.3695,-2.7024,3.029603276,3,1688527141,12.5,-0.029603276
1041445,40.8,-0.3,23.26336775,113.5248981,-1.3718,-2.7027,3.030911172,3,1688527141,12.5,-0.030911172
1041445,40.8,-0.3,23.26336765,113.5248979,-1.3724,-2.7002,3.028953912,3,1688527141,12.5,-0.028953912
1041445,40.8,-0.3,23.26336755,113.5248977,-1.3743,-2.701,3.030528253,3,1688527141,12.5,-0.030528253
1041445,40.8,-0.3,23.26336744,113.5248975,-1.3766,-2.7007,3.031304678,3,1688527141,12.5,-0.031304678
1041445,40.8,-0.3,23.26336734,113.5248973,-1.3768,-2.6991,3.02997014,3,1688527141,12.5,-0.02997014
1041445,40.8,-0.3,23.26336724,113.5248971,-1.38,-2.6974,3.029912005,3,1688527141,12.5,-0.029912005
1041445,40.8,-0.3,23.26336713,113.5248969,-1.3813,-2.6979,3.030949373,3,1688527141,12.5,-0.030949373
1041445,40.8,-0.3,23.26336703,113.5248966,-1.3826,-2.6976,3.031275065,3,1688527141,12.5,-0.031275065
1041630,41.4,-0.3,23.26336693,113.5248964,-1.3828,-2.6964,3.030298467,3,1688527141,21.5,-0.030298467
1041630,41.4,-0.3,23.26336682,113.5248962,-1.3823,-2.6987,3.032117244,3,1688527141,21.5,-0.032117244
1041630,41.4,-0.3,23.26336672,113.524896,-1.3857,-2.6957,3.031000327,3,1688527141,21.5,-0.031000327
1041630,41.4,-0.3,23.26336662,113.5248958,-1.3876,-2.6965,3.032580751,3,1688527141,21.5,-0.032580751
1041630,41.4,-0.3,23.26336651,113.5248956,-1.3868,-2.6972,3.032837299,3,1688527141,21.5,-0.032837299
1041630,41.4,-0.3,23.26336641,113.5248954,-1.3876,-2.6972,3.033203191,3,1688527141,21.5,-0.033203191
1041630,41.4,-0.3,23.26336631,113.5248952,-1.3863,-2.6975,3.032875523,3,1688527141,21.5,-0.032875523
1041630,41.4,-0.3,23.2633662,113.524895,-1.3881,-2.6986,3.034676848,3,1688527141,21.5,-0.034676848
1041630,41.4,-0.3,23.2633661,113.5248948,-1.3888,-2.6974,3.033930157,3,1688527141,21.5,-0.033930157
1041823,41.6,-0.3,23.26336599,113.5248945,-1.3902,-2.699,3.035993584,3,1688527142,11.5,-0.035993584
1041823,41.6,-0.3,23.26336589,113.5248943,-1.3905,-2.6993,3.036397658,3,1688527142,11.5,-0.036397658
1041823,41.6,-0.3,23.26336579,113.5248941,-1.3904,-2.6998,3.036796371,3,1688527142,11.5,-0.036796371
1041823,41.6,-0.3,23.26336568,113.5248939,-1.3912,-2.7001,3.037429415,3,1688527142,11.5,-0.037429415
1041823,41.6,-0.3,23.26336558,113.5248937,-1.3918,-2.7005,3.038059823,3,1688527142,11.5,-0.038059823
1041823,41.6,-0.3,23.26336547,113.5248935,-1.3919,-2.7003,3.037927863,3,1688527142,11.5,-0.037927863
1041823,41.6,-0.3,23.26336537,113.5248933,-1.3942,-2.702,3.040492993,3,1688527142,11.5,-0.040492993
1041823,41.6,-0.3,23.26336527,113.5248931,-1.3928,-2.7033,3.041006861,3,1688527142,11.5,-0.041006861
1042010,41.8,-0.3,23.26336516,113.5248929,-1.3939,-2.7024,3.040710932,3,1688527142,19.5,-0.040710932
1042010,41.8,-0.3,23.26336506,113.5248927,-1.3954,-2.7045,3.043264926,3,1688527142,19.5,-0.043264926
1042010,41.8,-0.3,23.26336495,113.5248924,-1.395,-2.7063,3.044681377,3,1688527142,19.5,-0.044681377
1042010,41.8,-0.3,23.26336485,113.5248922,-1.3956,-2.7061,3.044778575,3,1688527142,19.5,-0.044778575
1042010,41.8,-0.3,23.26336474,113.524892,-1.3966,-2.708,3.046925591,3,1688527142,19.5,-0.046925591
1042010,41.8,-0.3,23.26336464,113.5248918,-1.3978,-2.7088,3.04818672,3,1688527142,19.5,-0.04818672
1042010,41.8,-0.3,23.26336454,113.5248916,-1.3977,-2.7093,3.04858521,3,1688527142,19.5,-0.04858521
1042010,41.8,-0.3,23.26336443,113.5248914,-1.3981,-2.7093,3.04876862,3,1688527142,19.5,-0.04876862
1042010,41.8,-0.3,23.26336433,113.5248912,-1.3964,-2.7111,3.049589508,3,1688527142,19.5,-0.049589508
1042010,41.8,-0.3,23.26336422,113.524891,-1.396,-2.7119,3.050117639,3,1688527142,19.5,-0.050117639
1042201,42,-0.3,23.26336412,113.5248908,-1.3973,-2.7116,3.050446172,3,1688527142,20.5,-0.050446172
1042201,42,-0.3,23.26336401,113.5248906,-1.4002,-2.7117,3.051864501,3,1688527142,20.5,-0.051864501
1042201,42,-0.3,23.26336391,113.5248903,-1.3996,-2.7129,3.052655659,3,1688527142,20.5,-0.052655659
1042201,42,-0.3,23.26336381,113.5248901,-1.3983,-2.7148,3.053748832,3,1688527142,20.5,-0.053748832
1042201,42,-0.3,23.2633637,113.5248899,-1.3981,-2.7134,3.05241268,3,1688527142,20.5,-0.05241268
1042201,42,-0.3,23.2633636,113.5248897,-1.3989,-2.7171,3.056068327,3,1688527142,20.5,-0.056068327
1042201,42,-0.3,23.26336349,113.5248895,-1.4023,-2.7165,3.057092988,3,1688527142,20.5,-0.057092988
1042201,42,-0.3,23.26336339,113.5248893,-1.4047,-2.7144,3.056329408,3,1688527142,20.5,-0.056329408
1042201,42,-0.3,23.26336328,113.5248891,-1.4034,-2.7169,3.057953101,3,1688527142,20.5,-0.057953101
1042201,42,-0.3,23.26336318,113.5248889,-1.4044,-2.7175,3.058945179,3,1688527142,20.5,-0.058945179
1042383,42.2,-0.3,23.26336307,113.5248887,-1.4051,-2.7168,3.058644839,3,1688527142,21,-0.058644839
1042383,42.2,-0.3,23.26336297,113.5248884,-1.4064,-2.7164,3.058887039,3,1688527142,21,-0.058887039
1042383,42.2,-0.3,23.26336286,113.5248882,-1.4081,-2.7162,3.059491469,3,1688527142,21,-0.059491469
1042383,42.2,-0.3,23.26336276,113.524888,-1.4108,-2.7156,3.060202608,3,1688527142,21,-0.060202608
